VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost
9552,M S WALKER INC,15076,Cigar Box Cab Svgn Valle Cen,7.74,11.99,750.0,707,5472.180000000003,678.0,8123.219999999934,5306.5699999999415,75.05999999999982,55551.819999999985
2000,SOUTHERN WINE & SPIRITS NE,19465,Flagstone Longitude Red,4.72,6.99,750.0,1159,5470.479999999999,1152.0,7849.769999999947,3089.57999999997,128.74000000000007,19016.59
90024,VINILANDIA USA,24588,Boundary Breaks OLN Rsl,10.2,16.99,750.0,536,5467.199999999998,417.0,6440.829999999952,5164.659999999956,46.00999999999985,2802.6400000000003
4425,MARTIGNETTI COMPANIES,17325,The Calling Dutton Chard RRV,13.69,19.99,750.0,399,5462.31,387.0,7736.129999999975,4277.859999999977,42.97999999999995,144929.24
4425,MARTIGNETTI COMPANIES,44703,J Lohr Seven Rst Cv Cab Svgn,8.7,13.49,750.0,627,5454.899999999999,610.0,8228.899999999994,1227.5900000000006,68.69000000000003,144929.24
4425,MARTIGNETTI COMPANIES,25777,Ch Bonnet Red,8.96,13.99,750.0,608,5447.680000000005,536.0,7606.63999999995,4988.499999999958,59.429999999999865,144929.24
2,"IRA GOLDMAN AND WILLIAMS, LLP",90609,Flavor Essence Variety 5 Pak,17.0,24.99,162.5,320,5440.0,24.0,599.7600000000001,449.8200000000001,0.5200000000000001,27.08
10754,PERFECTA WINES,37798,Dr Frank Johannisberg Rsl,11.33,16.99,750.0,480,5438.400000000002,385.0,6433.149999999965,4327.419999999972,42.589999999999904,28720.52
9165,ULTRA BEVERAGE COMPANY LLP,13967,Villa Sandi Il Fresco Prosec,8.6,12.99,750.0,632,5435.199999999996,1009.0,13211.909999999883,7671.149999999908,111.89999999999979,68054.70000000003
4425,MARTIGNETTI COMPANIES,25602,Ramey Cab Svgn Pedregal Vyd,123.37,189.99,750.0,44,5428.28,24.0,4559.759999999999,2469.87,2.6699999999999995,144929.24
1587,VINEYARD BRANDS INC,15057,Cono Sur Organic Cab Svgn,6.8,9.99,750.0,798,5426.400000000003,873.0,8875.269999999926,5024.089999999937,97.00999999999986,6070.089999999999
10754,PERFECTA WINES,23827,Fattoria di Basciano Chianti,9.93,16.99,750.0,546,5421.779999999997,519.0,7601.809999999946,5394.329999999951,57.37999999999985,28720.52
8320,SHAW ROSS INT L IMP LTD,20905,Gekkeikan Suzaku Sake,5.95,8.99,300.0,911,5420.449999999996,873.0,7848.269999999924,4773.689999999936,37.10999999999975,3151.9200000000014
90024,VINILANDIA USA,13887,Nicolis Amarone Valpo Clsc,30.96,49.99,750.0,175,5418.0,106.0,5707.93999999999,4309.199999999992,11.719999999999999,2802.6400000000003
17032,JEWELL TOWNE VINEYARDS,42118,Jewell Towne Seyval NH,6.81,10.49,750.0,795,5413.95,757.0,7940.929999999915,5465.289999999931,83.83999999999976,283.60999999999996
3252,E & J GALLO WINERY,42124,Pieropan Soave Clsc,9.03,13.99,750.0,597,5390.909999999998,515.0,10199.849999999942,5780.08999999996,57.159999999999876,61966.909999999996
90053,INCREDIBREW INC,24153,Grape Time Wh Cranbery Pnt G,8.72,12.99,750.0,618,5388.960000000003,587.0,7625.129999999944,5286.929999999947,65.02999999999987,124.44000000000003
660,SAZERAC NORTH AMERICA INC.,1864,1792 Port Finish Bourbon,30.76,39.99,750.0,175,5383.0,175.0,6998.249999999978,5958.509999999979,138.0400000000002,17932.329999999994
1392,CONSTELLATION BRANDS INC,17915,Thorny Rose Svgn Bl NZ,5.8,8.99,750.0,928,5382.400000000003,852.0,7901.479999999935,4603.059999999942,94.62999999999987,79528.99
10754,PERFECTA WINES,15584,Ch Vrai Caillou Wh Brdx,6.49,11.99,750.0,829,5380.210000000004,835.0,8367.649999999925,4915.099999999939,92.75999999999988,28720.52
1650,Circa Wines,6506,Villa Zarri Nocino Liqueur,33.21,46.49,750.0,162,5380.02,106.0,4825.93999999999,4195.07999999999,83.65000000000003,211.96999999999997
4692,KOBRAND CORPORATION,15820,Mont Redon CdP Red,24.66,36.99,750.0,218,5375.88,373.0,13797.269999999959,8174.7899999999645,41.37999999999991,9139.38
9165,ULTRA BEVERAGE COMPANY LLP,4300,BenRiach Barrel 94,134.32,179.99,750.0,40,5372.8,28.0,5039.7199999999975,3599.7999999999984,22.08999999999999,68054.70000000003
8673,STE MICHELLE WINE ESTATES,31194,Conn Crk Ltd Rls Np Cab Svgn,14.96,21.99,750.0,359,5370.640000000003,275.0,6878.249999999982,3726.5099999999857,30.559999999999956,15919.700000000003
90010,VINEXTRA INC,16839,Le Gr Bouqueteau Chinon Roug,10.38,15.99,750.0,517,5366.460000000003,451.0,7211.48999999997,3725.6699999999782,50.24999999999996,524.9400000000002
9165,ULTRA BEVERAGE COMPANY LLP,28690,Stonehedge Merlot Cal,6.66,9.99,750.0,805,5361.300000000004,802.0,8211.979999999934,4812.289999999944,89.1499999999999,68054.70000000003
6785,PALM BAY INTERNATIONAL INC,23452,Santa Rita Secret Rsv Red,5.84,9.99,750.0,918,5361.119999999996,986.0,8864.139999999896,5600.769999999916,109.29999999999976,13605.409999999998
9165,ULTRA BEVERAGE COMPANY LLP,17507,Rainstorm Pnt Nr,9.99,15.99,750.0,536,5354.640000000002,557.0,8844.429999999946,5034.82999999996,61.949999999999854,68054.70000000003
9552,M S WALKER INC,24123,Garnacha de Fuego 14 Rose Ar,6.53,9.99,750.0,820,5354.6,817.0,8507.829999999936,4637.519999999949,90.7599999999999,55551.819999999985
4425,MARTIGNETTI COMPANIES,4190,Boca Loca Cachaca,19.52,24.99,750.0,274,5348.48,536.0,10766.639999999961,5000.609999999967,422.3700000000012,144929.24
5455,MARSALLE COMPANY,27273,Albatros Malbec Cahors,9.58,13.99,750.0,558,5345.640000000001,320.0,3196.7999999999925,1618.3800000000012,35.569999999999936,937.21
10754,PERFECTA WINES,43937,P Jaboulet Hrmtg 10 Chapelle,161.9,237.99,750.0,33,5342.7,4.0,951.96,475.98,0.45,28720.52
9165,ULTRA BEVERAGE COMPANY LLP,2056,Loch Lomond Original Scotch,23.52,31.99,750.0,227,5339.039999999997,34.0,1087.66,959.7000000000002,26.829999999999984,68054.70000000003
90024,VINILANDIA USA,17216,Gerard Metz Pnt Gris,11.76,18.99,750.0,454,5339.039999999997,399.0,7251.0099999999575,5321.0699999999615,44.12999999999988,2802.6400000000003
17037,Dunn Wine Brokers,45839,White Oak Chard RRV,15.33,22.99,750.0,348,5334.84,278.0,6391.219999999984,2988.6999999999916,30.979999999999954,358.03000000000003
9165,ULTRA BEVERAGE COMPANY LLP,26484,Apaltagua Rose Carmenere,7.43,10.99,750.0,718,5334.739999999996,698.0,7671.019999999938,4857.579999999946,77.39999999999988,68054.70000000003
10754,PERFECTA WINES,20512,Lacoste Borie Pauillac,25.15,38.99,750.0,212,5331.799999999999,187.0,7291.129999999986,3548.089999999992,20.819999999999983,28720.52
7153,PINE STATE TRADING CO,16537,Root 1 Pnt Nr,6.84,9.99,750.0,779,5328.359999999997,847.0,9121.52999999989,6281.139999999912,93.73999999999978,15884.819999999998
1392,CONSTELLATION BRANDS INC,41170,Vendange Chard,2.66,3.99,500.0,2000,5320.000000000009,1804.0,7197.959999999924,2745.1199999999662,136.71000000000015,79528.99
4425,MARTIGNETTI COMPANIES,11249,Joseph Carr Merlot Napa Vly,11.84,17.99,750.0,449,5316.159999999999,481.0,10321.189999999942,6856.809999999955,53.24999999999986,144929.24
6785,PALM BAY INTERNATIONAL INC,24281,Col D'Orcia Brunello Montalc,73.82,109.99,750.0,72,5315.04,43.0,4329.569999999997,3019.699999999998,4.76,13605.409999999998
4425,MARTIGNETTI COMPANIES,16146,Sean Minor Red Napa Vly,12.83,18.99,750.0,414,5311.620000000001,391.0,7808.089999999954,5715.139999999961,43.20999999999988,144929.24
9744,FREDERICK WILDMAN & SONS,24868,Ch St Sulpice Brdx Blanc,7.48,10.99,750.0,709,5303.320000000001,592.0,6746.079999999947,4472.079999999957,65.58999999999986,3999.9299999999994
9165,ULTRA BEVERAGE COMPANY LLP,3565,Ultimat Vodka,25.98,38.99,750.0,204,5299.92,533.0,17597.66999999998,7832.629999999962,420.00000000000114,68054.70000000003
3252,E & J GALLO WINERY,15266,The Naked Grape Chard,4.54,6.99,750.0,1167,5298.179999999992,1234.0,8147.659999999893,4529.139999999917,137.14000000000016,61966.909999999996
3252,E & J GALLO WINERY,28039,Canyon Rd Merlot,5.88,8.99,1500.0,901,5297.880000000002,913.0,8207.869999999979,1636.1800000000014,205.23999999999975,61966.909999999996
8352,LUXCO INC,269,Juarez Triple Sec,3.17,3.99,1000.0,1669,5290.729999999996,1693.0,6755.069999999976,1564.080000000003,1777.6499999999942,10261.599999999997
1601,VRANKEN AMERICA,18583,Heidsieck Monopole Gold Top,31.29,49.99,750.0,169,5288.009999999998,174.0,8268.25999999998,6093.719999999982,19.24999999999998,1048.9699999999998
4425,MARTIGNETTI COMPANIES,35607,Castle Rock Merlot Cal,4.63,9.99,750.0,1142,5287.4600000000055,1260.0,13279.399999999827,8902.55999999986,139.47000000000028,144929.24
9165,ULTRA BEVERAGE COMPANY LLP,18637,Iris Vineyard Pnt Nr,13.07,20.99,750.0,404,5280.280000000002,347.0,6936.529999999956,5197.399999999967,38.369999999999884,68054.70000000003
17035,PERNOD RICARD USA,4784,Presidente Solera Brandy,13.23,17.99,750.0,399,5278.770000000001,405.0,7604.949999999983,3084.3599999999888,318.6900000000001,123780.21999999997
9206,PHILLIPS PRODUCTS CO.,2296,Tomatin Cu Bocan Scotch Whis,39.99,49.99,750.0,132,5278.68,6.0,299.94,249.95000000000002,4.73,2211.83
